Sensor(0-Laser,1-Radar)                     Timestamp                 NIS
                   0              125468                   0
                   1              125473             8.21117
                   0              125478            0.143406
                   1              125483             1.88777
                   0              125488           0.0883029
                   1              125493             4.20534
                   0              125498            0.235701
                   1              125503             3.51171
                   0              125508            0.012257
                   1              125513            0.186359
                   0              125518             1.03492
                   1              125523             1.12369
                   0              125528             1.92408
                   1              125533                4.65
                   0              125538            0.460445
                   1              125543             2.04061
                   0              125548             12.3768
                   1              125553             1.15637
                   0              125558             2.82658
                   1              125563             1.97968
                   0              125568             1.77131
                   1              125573             3.21833
                   0              125578             3.89008
                   1              125583            0.327552
                   0              125588            0.206041
                   1              125593             2.10571
                   0              125598               2.537
                   1              125603             5.29104
                   0              125608            0.560101
                   1              125613             2.13933
                   0              125618            0.281902
                   1              125623             6.63526
                   0              125628            0.454348
                   1              125633             6.80914
                   0              125638            0.675347
                   1              125643             4.06162
                   0              125648             2.04003
                   1              125653             3.96812
                   0              125658             1.03919
                   1              125663             2.65887
                   0              125668             2.46798
                   1              125673              2.8327
                   0              125678             2.62996
                   1              125683            0.739955
                   0              125688             0.31541
                   1              125693             1.47933
                   0              125698            0.767046
                   1              125703            0.765651
                   0              125708             3.25504
                   1              125713             2.84882
                   0              125718             2.24693
                   1              125723             10.0775
                   0              125728             1.08913
                   1              125733           0.0936397
                   0              125738            0.307817
                   1              125743             1.69631
                   0              125748             2.61042
                   1              125753             3.37534
                   0              125758            0.630711
                   1              125763             2.29395
                   0              125768            0.247913
                   1              125773             1.25487
                   0              125778            0.463248
                   1              125783             1.50392
                   0              125788            0.166364
                   1              125793            0.787412
                   0              125798            0.516787
                   1              125803             3.14557
                   0              125808            0.227003
                   1              125813             1.78263
                   0              125818            0.235857
                   1              125823             2.99879
                   0              125828              1.9163
                   1              125833            0.526614
                   0              125838             0.97503
                   1              125843            0.879761
                   0              125848            0.575608
                   1              125853            0.198412
                   0              125858             1.80124
                   1              125863            0.763273
                   0              125868             3.42282
                   1              125873             3.97759
                   0              125878             1.83228
                   1              125883            0.326389
                   0              125888             1.24475
                   1              125893             2.18124
                   0              125898             3.07915
                   1              125903            0.472156
                   0              125908             3.77222
                   1              125913             1.08491
                   0              125918             3.36721
                   1              125923             2.10153
                   0              125928             1.09031
                   1              125933             7.61548
                   0              125938             0.99116
                   1              125943             2.14574
                   0              125948             2.12628
                   1              125953             4.98209
                   0              125958           0.0783525
                   1              125963              8.3962
                   0              125968             5.73032
                   1              125973             4.66611
                   0              125978            0.793982
                   1              125983             2.54789
                   0              125988             2.33858
                   1              125993             2.19121
                   0              125998            0.966837
                   1              126003             1.34381
                   0              126008             1.43614
                   1              126013            0.786237
                   0              126018            0.362965
                   1              126023             1.32918
                   0              126028            0.960065
                   1              126033             3.32959
                   0              126038              2.2988
                   1              126043              7.0314
                   0              126048             3.57907
                   1              126053             1.57591
                   0              126058            0.105031
                   1              126063              2.0181
                   0              126068            0.419025
                   1              126073            0.237284
                   0              126078            0.367622
                   1              126083             5.93795
                   0              126088             2.15568
                   1              126093             6.23409
                   0              126098             3.83449
                   1              126103             1.18275
                   0              126108            0.869844
                   1              126113             3.12128
                   0              126118            0.969512
                   1              126123             6.29828
                   0              126128            0.647229
                   1              126133             1.96216
                   0              126138            0.214247
                   1              126143             2.94742
                   0              126148             2.85577
                   1              126153             3.24648
                   0              126158            0.859538
                   1              126163             9.95553
                   0              126168            0.758401
                   1              126173              3.3193
                   0              126178              1.1438
                   1              126183             5.39516
                   0              126188             1.83237
                   1              126193             2.41847
                   0              126198            0.555119
                   1              126203             1.19476
                   0              126208            0.696744
                   1              126213              0.1407
                   0              126218             1.48026
                   1              126223              1.4144
                   0              126228            0.140126
                   1              126233             2.27141
                   0              126238             2.10864
                   1              126243             2.62118
                   0              126248            0.190114
                   1              126253            0.906696
                   0              126258             1.69317
                   1              126263             1.03771
                   0              126268            0.626594
                   1              126273             4.05283
                   0              126278            0.329124
                   1              126283             5.50349
                   0              126288             3.53197
                   1              126293             1.05799
